Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks,Average Speed,Passenger Load.1,+,-,Unnamed: 13
Vehicle,Go,1st Lane,,6:13:16,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,6:13:28,Low (0 - 33 %),,,fishing for passenger,,,,,
Passenger,Wait,1st Lane,,6:13:29,Low (0 - 33 %),,,fishing for passenger,,,,,
Vehicle,Go,1st Lane,,6:13:35,Low (0 - 33 %),slow go,,no passenger,,,,,
Passenger,Wait,1st Lane,,6:13:37,Low (0 - 33 %),,,fishing for passenger,,,,,
Vehicle,Go,1st Lane,,6:13:40,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,6:13:53,Low (0 - 33 %),,,BIKE IN WAY,,,,,
Vehicle,Go,1st Lane,,6:14:00,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,6:14:20,Low (0 - 33 %),,,,,,,,
Passenger,Wait,1st Lane,,6:14:21,Low (0 - 33 %),,,fishing for passenger,,,,,
Vehicle,Go,1st Lane,,6:14:38,Low (0 - 33 %),,,no passenger,,,,,
Vehicle,Stop,1st Lane,,6:15:53,Low (0 - 33 %),,,fishing for passenger,,,,,
Passenger,Wait,1st Lane,,6:15:53,Low (0 - 33 %),,,fishing for passenger,,,,,
Vehicle,Go,1st Lane,,6:16:12,Low (0 - 33 %),,,no passenger,,,,,
Vehicle,1 Lane Left,2nd Lane,,6:17:17,Low (0 - 33 %),,trad jeep in front/ overtake,,,,,,
Vehicle,1 Lane Right,1st Lane,,6:17:21,Low (0 - 33 %),,trad jeep in front/ overtake,,,,,,
Passenger,Stop,1st Lane,Sudden Break,6:18:11,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,6:18:13,Low (0 - 33 %),,,LOAD,,,,,
Vehicle,Go,1st Lane,,6:18:14,Low (0 - 33 %),,,,,,,,
Passenger,Stop,1st Lane,Sudden Break,6:18:29,Low (0 - 33 %),,,,,,,,
